Área;Año;Sustancia;Casos;Tasa_ajustada
Usme;2015;Metanol;0;0
Tunjuelito;2015;Metanol;0;0
Bosa;2015;Metanol;0;0
Kennedy;2015;Metanol;6;0,6
Fontibón;2015;Metanol;1;0,28
Engativá;2015;Metanol;6;0,77
Suba;2015;Metanol;4;0,36
Barrios Unidos;2015;Metanol;0;0
Teusaquillo;2015;Metanol;1;0,7
Los Mártires;2015;Metanol;0;0
Antonio Nariño;2015;Metanol;0;0
Puente Aranda;2015;Metanol;0;0
Candelaria;2015;Metanol;0;0
Rafael Uribe Uribe;2015;Metanol;2;0,55
Ciudad Bolívar;2015;Metanol;1;0,17
Sumapaz;2015;Metanol;0;0
Distrito;2015;Metanol;28;0,38
Usaquén;2015;Todas las sustancias;414;79,54
Chapinero;2015;Todas las sustancias;413;271,72
Santa Fe;2015;Todas las sustancias;110;107,68
San Cristóbal;2015;Todas las sustancias;271;70,9
Usme;2015;Todas las sustancias;249;70,43
Tunjuelito;2015;Todas las sustancias;121;71,01
Bosa;2015;Todas las sustancias;440;65,53
Kennedy;2015;Todas las sustancias;30;3
Fontibón;2015;Todas las sustancias;705;197,82
Engativá;2015;Todas las sustancias;367;46,85
Suba;2015;Todas las sustancias;808;72,12
Barrios Unidos;2015;Todas las sustancias;138;99,82
Teusaquillo;2015;Todas las sustancias;154;108,26
Los Mártires;2015;Todas las sustancias;148;200,04
Antonio Nariño;2015;Todas las sustancias;117;144,42
Puente Aranda;2015;Todas las sustancias;177;73,54
Candelaria;2015;Todas las sustancias;169;977,44
Rafael Uribe Uribe;2015;Todas las sustancias;238;65,94
Ciudad Bolívar;2015;Todas las sustancias;642;106,69
Sumapaz;2015;Todas las sustancias;5;155,09
Distrito;2015;Todas las sustancias;5.716;78,59
Usaquén;2016;Medicamentos;159;30,31
Chapinero;2016;Medicamentos;53;34,59
Santa Fe;2016;Medicamentos;35;34,15
San Cristóbal;2016;Medicamentos;77;20,15
Usme;2016;Medicamentos;82;23,03
Tunjuelito;2016;Medicamentos;32;18,8
Bosa;2016;Medicamentos;121;17,85
Kennedy;2016;Medicamentos;273;27,16
Fontibón;2016;Medicamentos;157;43,76
Engativá;2016;Medicamentos;251;32,01
Suba;2016;Medicamentos;253;22,41
Barrios Unidos;2016;Medicamentos;46;33,89
Teusaquillo;2016;Medicamentos;56;39,26
Los Mártires;2016;Medicamentos;39;53,1
Antonio Nariño;2016;Medicamentos;34;42,49
Puente Aranda;2016;Medicamentos;76;31,58
Candelaria;2016;Medicamentos;7;40,84
Rafael Uribe Uribe;2016;Medicamentos;84;23,27
Ciudad Bolívar;2016;Medicamentos;118;19,54
Sumapaz;2016;Medicamentos;0;0
Distrito;2016;Medicamentos;1.953;26,75
